image_filename,observation_id,latitude,longitude,observed_on,taxon_id,taxon_name
Ephemeroptera/Ephemeroptera_328677418_595637019.jpg,328677418,35.7816609722,-78.675396,2025-08-28 15:01:13,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_328671798_595625489.jpg,328671798,36.8693804651,-119.7586385986,2025-09-24 17:34:30,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_328639913_595563468.jpg,328639913,19.4869437216,-100.3718286753,2025-11-28 11:49:00,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_328639452_595562507.jpg,328639452,19.4869128368,-100.3719436118,2025-11-28 11:45:03-06:00,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_328541676_595363067.jpg,328541676,30.4951679751,-84.2813377707,2025-11-27 17:02:46,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_328503315_595402621.jpg,328503315,29.5920716,-101.6527399,2025-11-26 10:55:04,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_328454807_595184947.jpg,328454807,51.4378494797,-116.5369041623,2025-08-09 11:12:37,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_328362331_594990117.jpg,328362331,25.3820217666,-80.6069117111,2025/11/22 8:33 PM,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_328362307_594990011.jpg,328362307,25.3820217666,-80.6069117111,2025/11/22 8:48 PM,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_328351971_594976638.jpg,328351971,34.1127677878,-117.5037051737,2025-07-27 16:06:59,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_328286967_594846392.jpg,328286967,45.5702516193,-73.8064710981,2025-08-31,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_328279600_594831225.jpg,328279600,39.83448,-74.892005,2025-10-16 11:22:53,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_328265324_594803339.jpg,328265324,41.8456309972,-70.6909490694,2025-09-06 20:35:22,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_328228997_594731824.jpg,328228997,3.7794533333,-61.756195,2025-11-22 10:26:51-04:00,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_328097602_594468472.jpg,328097602,32.8884916667,-96.6596533333,2025-11-23 19:22:17-06:00,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_328062816_594435048.jpg,328062816,34.6537770818,-82.8322151676,2025-10-04,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_328000487_594278301.jpg,328000487,8.0475166667,-81.1918444444,2025-11-23 21:32:05,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_327945525_594180693.jpg,327945525,8.0147456944,-81.3281936389,2025-11-23 16:04:16,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_327942182_594173380.jpg,327942182,37.7292575936,-119.0529144366,2025/09/29 1:33 PM,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_327936794_594165304.jpg,327936794,19.67325,-101.147806,2025/11/21 11:49 AM,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_327922606_594136259.jpg,327922606,4.5265711131,-52.436389885,2025/11/22 19:53,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_327889782_594079327.jpg,327889782,44.4484854205,-89.5226084951,2025/11/23 9:24 AM,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_327790093_593890783.jpg,327790093,37.527467305,-77.480297564,2025-11-17 15:48:55-06:00,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_327748648_593810117.jpg,327748648,14.8288944444,-85.8461111111,2025-11-11 18:18:50,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_327711580_593745100.jpg,327711580,40.7737416667,-122.9227616667,2025-06-06 16:33:56,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_327696773_593717250.jpg,327696773,39.4932366667,-74.5298783333,2025-10-07 18:07:02,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_327695610_593715178.jpg,327695610,40.7454383333,-74.8448416667,2025-10-07 11:25:29,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_327659662_593650045.jpg,327659662,29.3657916667,-98.731545,2025-11-22 07:55:57,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_327610080_593549399.jpg,327610080,41.4453015096,-75.6524233914,2025/05/28 1:36 AM,48011,Ephemeroptera
Ephemeroptera/Ephemeroptera_327497453_593332468.jpg,327497453,8.0038972222,-81.3354333333,2025-11-21 00:18:34,48011,Ephemeroptera
